Season,League,Champion,MVP,MVP Age,MVP Team,MVP Country,ROTY,ROTY Age,ROTY Team,ROTY Country,Points Leader,Points,Pts Age,Pts Team,Pts Country,Rebounds Leader,Rebounds,Rb Age,Rb Team,Rb Country,Assists Leader,Assists,Ast Age,Ast Team,Ast Country,Win Shares Leader,Win Shares,WS Age,WS Team,WS Country
1975-76,NBA,Boston Celtics,K. Abdul-Jabbar,29.0,MIL,United States,A. Adams,22.0,PHO,United States,B. McAdoo,2427,25,BUF,United States,K. Abdul-Jabbar,1383.0,29.0,MIL,United States,S. Watts,661,25,SEA,United States,K. Abdul-Jabbar,17.0,29,MIL,United States
1975-76,ABA,New York Nets,J. Erving,26.0,NYA,United States,D. Thompson,22.0,DNA,United States,J. Erving,2462,26,NYA,United States,A. Gilmore,1303.0,27.0,KEN,United States,D. Buse,689,26,INA,United States,J. Erving,17.0,26,NYA,United States
1974-75,NBA,Golden State Warriors,B. McAdoo,24.0,BUF,United States,J. Wilkes,22.0,GSW,United States,B. McAdoo,2831,24,BUF,United States,B. McAdoo,1155.0,24.0,BUF,United States,K. Porter,650,25,BAL,United States,B. McAdoo,17.0,24,BUF,United States
1974-75,ABA,Kentucky Colonels,"J. Erving, G. McGinnis",25.0,NYA,United States,M. Barnes,23.0,SSL,United States,G. McGinnis,2353,25,INA,United States,A. Gilmore,1361.0,26.0,KEN,United States,C. Williams,576,29,MMS,United States,J. Erving,17.0,25,NYA,United States
1973-74,NBA,Boston Celtics,K. Abdul-Jabbar,27.0,MIL,United States,E. DiGregorio,23.0,BUF,United States,B. McAdoo,2261,23,BUF,United States,E. Hayes,1463.0,29.0,SDR,United States,E. DiGregorio,663,23,BUF,United States,K. Abdul-Jabbar,18.0,27,MIL,United States
1973-74,ABA,New York Nets,J. Erving,24.0,NYA,United States,S. Nater,24.0,TOT,Netherlands,J. Erving,2299,24,NYA,United States,A. Gilmore,1538.0,25.0,KEN,United States,A. Smith,619,27,DNR,United States,J. Erving,16.0,24,NYA,United States
1972-73,NBA,New York Knicks,D. Cowens,25.0,BOS,United States,B. McAdoo,22.0,BUF,United States,T. Archibald,2719,25,CIN,United States,W. Chamberlain,1526.0,37.0,PHW,United States,T. Archibald,910,25,CIN,United States,K. Abdul-Jabbar,21.0,26,MIL,United States
1972-73,ABA,Indiana Pacers,B. Cunningham,30.0,CAR,United States,B. Taylor,22.0,NYA,United States,D. Issel,2292,25,KEN,United States,A. Gilmore,1476.0,24.0,KEN,United States,C. Williams,582,27,SDA,United States,A. Gilmore,18.0,24,KEN,United States
1971-72,NBA,Los Angeles Lakers,K. Abdul-Jabbar,25.0,MIL,United States,S. Wicks,23.0,POR,United States,K. Abdul-Jabbar,2822,25,MIL,United States,W. Chamberlain,1572.0,36.0,PHW,United States,L. Wilkens,766,35,STL,United States,K. Abdul-Jabbar,25.0,25,MIL,United States
1971-72,ABA,Indiana Pacers,A. Gilmore,23.0,KEN,United States,A. Gilmore,23.0,KEN,United States,D. Issel,2538,24,KEN,United States,A. Gilmore,1491.0,23.0,KEN,United States,B. Melchionni,669,28,NYA,United States,A. Gilmore,19.0,23,KEN,United States
